# AS641 communities taken from https://onestep.net/communities/as6461/
6461:9003,Peer in TOR3
6461:9004,Peer in SPK1
6461:9005,Peer in SLC2
6461:9006,Peer in ORD50
6461:9007,Peer in BWI19
6461:9008,Peer in SEA28
6461:9009,Peer in CLT4
6461:9010,Peer in YVR2
6461:9011,Peer in YVR3
6461:9012,Peer in LAS2
6461:9013,Peer in CLT2
6461:9014,Peer in EWR69
6461:9015,Peer in IAD9
6461:9016,Peer in YWG1
6461:9017,Peer in YWG2
6461:9018,Peer in KCY4
6461:9019,Peer in ORD53
6461:9020,Peer in DFW83
6461:9021,Peer in LAS4
6461:9022,Peer in PDX2
6461:9023,Peer in MCO1
6461:9024,Peer in COS19
6461:9025,Peer in DEN67
6461:9026,Peer in DUB3
6461:9027,Peer in FAB1
6461:9028,Peer in MRS1
6461:9029,Peer in YYC1
6461:9030,Peer in YYC2
6461:9031,Peer in LTN1
6461:9032,Peer in ATL10
6461:9033,Peer in LAX10
6461:9034,Peer in DUB2
6461:9035,Peer in SGU1
6461:9036,Peer in DEN66
6461:9037,Peer in BOD1
6461:9038,Peer in CDG16
6461:9039,Peer in CDG17
6461:9040,Peer in CDG18
6461:9041,Peer in CDG19
6461:9042,Peer in CDG20
6461:9043,Peer in TLS1
6461:9044,Peer in MAD1
6461:9045,Peer in BRU1
6461:9046,Peer in LYN1
6461:9047,Peer in ZRH1
6461:9048,Peer in LYN2
6461:9049,Peer in SXB1
6461:9050,Peer in NTE1
6461:9051,Peer in CDG21
6461:9052,Peer in CDG22
6461:9053,Peer in CDG23
6461:9054,Peer in CDG24
6461:9055,Peer in LUX1
6461:9056,Peer in MPL1
6461:9057,Peer in LIL1
6461:9058,Peer in MSP20
6461:9059,Peer in KCY2
6461:9060,Peer in OMA1
6461:9061,Peer in SAT1
6461:9062,Peer in PHX15
6461:9063,Peer in DTW3
